Author,Rating,Title,Content,Version,Date
3YEJ1X4K,1,gagal verifikasi wajah,"selalu gagal pas verifikasi wajah, kotaknya merah terus, knp ya?",4.13.1,2025-08-21T05:56:12-07:00
yulianasartika,3,Rehab,"Saya mau mengajukan program rehap ko g bisa ya, disuru aplikasi rehap keversi terbaru, itu mksd nya gimna ya???",4.11.2,2025-07-21T21:36:40-07:00
Shemaru,1,Verifikasi ga respon,"Verifikasi wajah gabisa bisa, ga gagal ga berhasil jg diem aj bgitu ga ada respon, udh pake hp lain sama ga bisa juga, ga jelas aplikasi pemerintah kerjanya",4.13.1,2025-08-03T19:17:59-07:00
OlyJoo,1,MINTA PENGENALAN WAJAH,MINTA PENGENALAN WAJAH TP DARI APLIKASINYA GAK BISA AKSES KAMERA,4.13.1,2025-08-08T09:41:05-07:00
indra dewan,1,fitur tidak sesuai,aplikasi yang buruk verifikasi wajah tidak bisa saat pendaftaran,4.13.1,2025-08-21T01:07:39-07:00
ajgskwodbska,1,Busuk,"APP TOLOL, SEMUA APP YG PUNYA PEMERITNAH PASTI GK ADA YG BENER!! KNTL!!!!",4.13.2,2025-08-26T21:20:43-07:00
Rfy0051,1,Aplikasi tolol verif foto kaga bisa,Gmna coba verif foto kaga bisa bisa udah ulang ulang 10 kali keluar masuk tetep aja kaga bisa bisa verif apliasi tolol buang buang anggaran doang,4.13.1,2025-08-14T18:41:27-07:00
gustoet,5,Hidup Sehat,Sangat bermanfaat keluarga,4.13.2,2025-09-07T10:24:28-07:00
3YEJ1X4K,1,gagal verifikasi wajah,"selalu gagal pas verifikasi wajah, kotaknya merah terus, knp ya?",4.13.1,2025-08-21T05:56:12-07:00
Abdur rachman khalid,1,Perekaman wajah,"Ini harus gimana ga kejepret” nih perekaman gaada tombol buat rekam atau jepret ini trs di apain,mau daftar susah amat",4.13.1,2025-08-20T05:01:21-07:00
itsnotzee,1,APLIKASI GAJELAS,"Tolong dong diperbaiki, masa ingin rubah data aja pake face recognition, padahal ga semua hp support elahhh.. mau berobat aja ribet 👎👎",4.11.2,2025-07-15T19:56:04-07:00
greyjoydarker,1,Developernya BODOHHHH,"Mau verif pindah faskes pake harus foto wajah, kalo fitur belom siap jgn di deployyy tolll polotolll blokkk",4.13.1,2025-08-12T19:19:49-07:00
arridhow,1,parah,"udah keliatan dari ux nya aja, gausa ngomongin ui dulu, bisa kok dibandingin sama app lain. mau verifikasi muka aja gabisa, ga ke detect, belum lagi kameranya ga dibikin mirror, udah tau buat selfie. layout, button” banyak yg perlu diimprove noh size sama spacing nya. ga ngerti kenapa banyak yg kasih bintang 5, buzzer?",4.13.1,2025-08-04T18:17:27-07:00
Aisyah rizki,5,Mantapp,Memudakan sekali berkat aplikasi ini,4.11.2,2025-07-17T04:13:03-07:00
f4rh4nn,1,gbisa daftar!!,"gabisa verifikasi wajah woyyyy, tolong dibenerin lah, gue dah nungguin dari selasa belom bisa2",4.13.2,2025-08-23T01:15:17-07:00
Apeennnn,1,BUG,"kenapa pas mau daftar terus scan wajah,gabisa bisaa,stuck aja terus disitu,hadehh menyulitkannnn",4.13.1,2025-08-01T07:11:22-07:00
sued05,1,GAGAL DAFTAR,"Sistem verifikasi wajah tidak bisa digunakan, wajah sudah jelas tidak menggunakan kacamata, masker, cahaya sudah baik, dll. Aplikasi tidak siap digunakan, mau daftar saja tidak bisa",4.13.1,2025-08-21T10:09:52-07:00
JS Raksanata,1,Verifikasi Wajah,"Saat ada perubahan data, sangat sulit melakukan verifikasi wajah, sudah dicoba beberapa jam dalam beberapa hari, aplikasinya sama sekali tidak merespon, hanya kotak merah yang sama sekali tidak bergerak, tolong diperbaiki min, ini kan project mahal ya",4.13.1,2025-08-03T00:58:34-07:00
tsinjal,1,Bug,Face recognition didn’t work when you’re going to register,4.13.1,2025-08-18T19:02:08-07:00
Soknotorobotono,1,Protes dengan tidak benar nya aplikasi,"Ini yang buat aplikasi bisa buat aplikasi atau tidak , verifikasi wajah aja kagak bisa terus aplikasi tolol",4.13.1,2025-08-19T20:25:44-07:00
Iwodhhd,1,Not work,"Buat pendataran nya aja gk jelas saat verifikasi wajah. Petunjuk cuma wajah harus di dalam kotak saja, petunjuk harus sesuai dengan kriteria yg di inginkan. Intinya mempersulit untuk mengakses banyaj hal.",4.13.1,2025-08-18T21:15:04-07:00
desssssssssssdnr,1,Tidak bisa daftar karena biometrik ga bisa d klik,"Tidak bisa daftar karena biometrik ga bisa d klik, lemah banget sistem nya, padahal udh bayar mahal2, ga pernah di pake, mau coba daftat aplikasi susah banget.",4.13.1,2025-08-05T19:41:14-07:00
