author,rating,content
Pengguna Google,1,Saya dah daftar di bpjs mobile ini tp kok no bpjs saya gk ada? Pas mau masuk lg ada keterangan no bpjs kan saya bingung Di bantu ya
Sekar Adelia Putri,1,"Mau masukin email aja susah, disuruh nunggu ratusan detik. Lemot deh"
Slim N,1,tidak ada nomor verifikasi yang terkirim. Padahal ibu saya penyakit jantung tapi gak bisa daftar offline juga jadi nasib ibu saya harus bagaimana? Pemerintah mau tanggung jawab?
Pengguna Google,1,"Transaksi anda belum dapat diproses. cobalah beberapa saat lain. seriously?? biaya naik, dengan pelayanan membaik??"
Adeliasyfitri Adelia,1,Sungguh dipersulit pake aplikasi ini👎
Asep Sapudin,1,"Aplikasi GAJE... Aplikasi tidak bisa berjalan pada emulator... Lah ini di instal di hp .. maka pihak pengembang nya, cepet perbaiki"
kijeng balap,1,"Makin ribet nih apk habis pembaruan,, mana nomer HP yg lama pulak, knapa nggk pake email aja sih nomer HP yg lama itu udah nggk aktif..."
ahmad sujarwo,1,Mobile JKN terbaru tidak bisa untuk pindah faskes...bagaimana nih
D AK,1,"Ini aplikasi susah banget log in nya, no HP sama email tidak cocok mulu"
rina sulistiana,5,"Sangat bermanfaat, kerennn"
Syam Nasir,5,Mempermudah proses penanganan pasien.
pradita,2,paskes perama bbmc pelayanan bagus cepat tangap trimakasi
Pengguna Google,5,saya tidak dapat login lagi setelah update
Adit Pratama,5,Aplikasi yg sangat membantu
Pengguna Google,5,Bagus sekali sangat membatu rakyat
Naoval aqly,1,"Aplikasi jelek, mau rubah data SMS kode OTP masuk tapi di aplikasi timeout,, akhirnya pulsa habis"
Erickson,1,Tolong di urus lah KEMENKES!!! Mau login aja susah Giliran minta bayar harus cepat
Pengguna Google,4,"Klau kode captcha salah Mulu, coba reset password. Bru masuk dgn password yg baru"
R K,1,"Orang sakit disuruh daftar kayak gini susahnya makin sakit!! Ribuan kali saya ulang tapi alamatnya salah, padahal sudah sesuai KTP. Tolong diperbaiki untuk masyarakat!!!"
Pengguna Google,1,"Captur ga kebuka"" susah"
Julio Chaesar,1,"Aplikasi ga guna, gabisa login padahal pswrd sudah bolak balik diperbarui"
Ari Jahari,1,Login aja susah
Olie Ae,5,tepat dan cepat
Wayan Murni,1,"aplikasi logout sendiri , ribet sekali harus login ulang . Apalagi lupa pasword .Parah"
Achmad Zaeni,5,Bagus untuk info dan membantu
Widad Muhamad,1,Gakbisa ngobrol Sama admin mungkin di sengaja agar tidak terlalu banyak pengaduan di ajukan dalam permasalahan BPJS 👍👍 mntep sangat luar biyasa
Anisa A J,1,"Asli kebangetan nih app... Padahal koneksi lancar, sinyal penuh, tp dibilang suruh cek koneksi mulu... Buat login aja susah banget.. sempat positive thinking dulu... Tp emang seburuk itu app nya 🥲"
Dio Arif,1,Mau login gak bisa tolong tuh capctha benerin
ISEV SAJAH,1,"parah, gak bisa di akses aturan nya kalo begitu dipentingkan harus betul betul di perhatikan baik serv.er ataupun teknisi lain nya"
Pengguna Google,2,"Masuk nya lama bener, sebelum2 tidak seperti ini tolong di perbaiki"
M Murca,1,"Kenapa login JKN mobile sekarang kok ribet, mendingan versi yang lama, versi terbaru malah ribet......"
budi doremi,2,"Mohon solusi nya min.. Saya mau daftar akun jkn mobile. tpi pas mau verifikasi no telp tiba"" keluar sendiri dri aplikasi nya dan itu trus ber ulang"" sampek skrang.. Dan ini sya juga blom bisa masuk ke apk nya.. Sya sudah pakek apk yg versi terbaru"
Whawan Doank,3,"Saya mau tanya admin,cara menggunakan aplikasi ini gimana ? Saya gak bisa login di karenakan gak tau password nya ? Saat saya klik lupa password mereka minta email,sedangkan saya tidak tahu. Dikarenakan waktu mendaftar saya hanya menyedihkan persyaratan,gak lama itu bpjs kesehatan jadi,dan tidak ad di kasih tau password dan email nya,jadibingung mau login gimana.trims"
Bayu Indra,1,"Semenjak ganti hp,mau masuk ke aplikasi JKN mobile susah nya mintak ampun,dulu Uda pernah punya aplikasinya,udah terdaftar semenjak ganti hp,download ulang aplikasinya malah d suruh masuk lagi,padahal Uda ngikuti langkah langkah yg di sebut d aplikasinya. Klw cuman daftarkan nya lg harus k kantor JKN buat apa ada aplikasinya lagi 😡."
Pengguna Google,3,Susah amat cuma mau login juga
Ketut Suarni,5,Aplikasi sangat bermaanfaat
Sumiati Yulianti,5,Bagus terimakasih bisa lebih mudah untuk mendapatka BPJS
Tanti Setiawati,1,Kecewa ga bisa d buka padahal lagi butuh banget
Dwi Yogo,5,Mudahdan cepat terimakasih mobile JKN👍
Pengguna Google,5,sangat membantu banget
Bapak Yasori,1,"Mau dftr kontrol setiap bulan susah harus update aplikasi setiap bulannya dan harus update data dari RS tempat kontrol rujukan, pokoknya ribet aplikasi gaje sistemnya ga maksimal,"
Dewas Bprbkk,1,"Mubail jkn, mohon tdk dibatasi dalam login, krn tdk semua punya hp androit"
Pengguna Google,1,di upgrade malah tambah susah login..
Hamri Badrun,1,Aplikasi paling jelek tidak dapat membantu yg mencari informasi kepesertaan aktif atau tidak..
Pengguna Google,1,apa apa update mulu heran gue! baru juga update belom ada seminggu mending kalo diupdate ada perubahan ini mah tetep sama aja aplikasinya! kampung
Saiful Anwar,5,sangat membantu pelayanannya
Faiz Bhayangkara,1,Saya mau cek data anak saya...knpa ga bisa bisa tolong dong yg bikin aplikasi jgn bikin orang nunggu...pas mau cek lama banget trus udah udahnya coba lagi nanti coba lagi nanti apa apaan itu...saya udah berpa kali coba masih aja gabisa padahal mau cek data anak saya yg baru didaftarin
Rohid Kurnia,1,"Aplikasi apaan ini mau masuk aja lemot banget padahal jaringan lancar, mau verivikasi ga dapet SMS, TOLONGLAH DI PERBAIKI"
Pengguna Google,2,terlalu memaksa untuk update
Sri Rahayu Purwati Ningsih,1,"Tolonglah diperbaiki aplikasinya Udah hampir sebulan mau ganti no Handphone biar bisa cetak kartu Tapi hasilnya selalu ""Transaksi belum dapat diproses"" udah habis pulsa untuk kode OTP. Saya jg butuh kartunya. Urus secara offline pun nggak diterima, online malah ga bisa begini... no hp yg terdaftar sudah sesuai, tapi nihil hasil nya"
Oby Febrianto,5,"Sengaja beri 5* buka karena suka, tapi supaya ada si atas. Aplikasi aneh masa minta update terus. Jelas jelas udah di update paling baru. Bag yang sangat mengganggu."
Triyono Tri,1,Gara lupa email ko susah bgt...ap pihak bpjs TDK bisa membantu masalah email...
M Saerozi,3,"Setelah update malah gak bisa buka kartu peserta,,gimana ini bos"
joe_BNJ,1,"saran kalo iuran bayar sendiri"" kalo dinombok sekeluarga habis rekening atau tabungan peserta mandiri"
Pengguna Google,5,"sangat bagus, jadi tau berapa jumlahnya"
Alvin 99,1,kena tidak bisa verivikasi otp tidak ada dan sangat lambat seharusnya bisa verivikasi banyak aturan nya dari semalam tidak bisa
Ferda Febriansyah,5,Sangat dimudahkan. Terimakasih
Denny Donat,5,Alhamdulillah 🤲🏻 Sangat BerGuna Untuk Saya & Anggota Keluarga saya ya 🙏🏻👍🏻😉...
Helvera Oktarina,2,"Aplikasi sangat membantu, tapi keseringan minta update.. Tiap mau log in harus update dulu.."
Dadi Sumardani,5,kemudahan aplikasi yg efisien untuk melakukan berbagai kebutuhan kesehatan
Pita Loka,5,"Saya mau login ga bisa, trus klik lupa paspord tp stiap x saya kirim kode otp ke no sya, tp saya tidak mendapatkan otpnya. Mohon bantuan nya harus gmna"
Muhozim Ozim,5,Sangat membantu
sil vester,5,Sangat membantu
ambyar Chanel,1,"Buruk , udah d update tapi tiap login ada notif aplikasi harus d update padahal udah d update , keluar"" sendiri ,"
Pengguna Google,3,Apliksi sering tidak jalan utk login.
Antox Ryhuw,1,Aplikasi tidak berguna. Untuk ubah data saja aplikasi force close terus wkwkwkw. Datang kekantor cabang jauh2 dirumah eh cuman ditemui satpam Tanpa bisa ketemu customer servis. Emang satpam sekarang jadi tempat Nerima keluhan pelanggan ya???
Maserup ME,5,luar biasa cepat ... mantap
Imron Rosadi,5,Mudah Bangat merubah faskes dan mengetahui riwayat penyakit saat berobat
Ratu Fira Azzahra,1,"KALO BELUM SIAP BIKIN SISTEM KAYA GINI, GAUSAH NYUSAHIN DENGAN GABISA DAFTAR LAYANAN BY WA LAGI. UDH MAU DAFTAR SUSAH. BALIK AJA KE KONVENSIONAL KALO BELUM SIAP MODERN"
Reza Muhammad,5,"Aplikasi yang bisa membantu melihat lokasi fasilitas kerjasama dengan BPJS kesehatan dan memudahkan mengecek tagihan iuran, dan dapat memudahkan untuk pindah fasilitas kesehatan tanpa harus ke kantor BPJS Kesehatan"
Heri Prasetyo,5,Sangat bermanfaat dan mempermudah kesulitan dalam pengurusan
Tong Kewel,1,"sulit aktivasi, menjengkelkan"
Anwar black,3,sllu salah memasukkan capcha nya pdhl sudah benar...
Penny Wahyu Asri,5,Sangat memuaskan
Gamers Puck,1,Sampai bisa mendaftar kepesertaan baru saya kasih 5 bintang sebab sampai sekarang saya belum bisa mendaftar kepesertaan melalui aplikasi ini
Rian irkham,1,woyy.... gw mau pindah faskes gak bisa gara-gara verifikasi wajah gagal mulu
lutfie surya,5,Membuat mudah menuju sehat
Pengguna Google,1,"Bagaimana dengan aplikasi nya ini? Daftar ke kantor BPJS, di suruh daftar online, ketika daftar Online ada perintah di suruh ke kantor BPJS.... kan bingung... Tolong di perbaiki dan di permudah proses nya... Jangan di buat bingung di saat keadaan virus wabah ini.... Karena banyak orang yg membutuhkan Kartu BPJS ini..."
Riea Kirana,5,Lumayan membantu
Fiktor Opat,5,Terima kasih membantu kami tapi aplikasinya terlalu berat susah dibuka...
DodiHerlina channel,5,Semoga saya dpt bantuan bansos
Pengguna Google,1,"Kok tidak bisa dipakai lagi... LOGIN sudah, tp minta UPDATE , di UPDATE minta LOGIN dst... Tp tidak bisa buka aplikasi"
Deden Sumantri,5,Sangat puas menggunakan aplikasi mobile jkn
dhea putri,1,"sebetulnya ini aplikasi apa sih ? sering error mau login tidak bisa ,tolong lah diperbaiki lagi"
Refan,5,Bpjs kesehatan kantor cabang sukabumi 👍👍
anr yasha,1,aplikasi yang sangat buruk...
Rifqan Fajriansyah,1,sibuk update terus
Djaka Farizki,1,Terlalu byak update
Tannto Wijaya,1,Kenapa gk bisa login. Padahal dulu bisa masuk.. Sekarang alasannya pasword salah &no ID salah. Tlg diperbaiki
m wahyu laksono,1,server sering eror
Pengguna Google,5,Sangat memudahkan
muchtar jafar,5,Terima kasih untuk pengembang.saya semakin mudah untuk login..salam sehat dan teruslah berkarya
Agam Setyo,5,"modern, mempercepat birokrasi, cocok untuk ortu gen z"
